Date,NAV
2023-09-26,9.86710
2023-09-27,9.84310
2023-09-29,9.87380
2023-10-03,9.62370
2023-10-04,9.64190
2023-10-05,9.72820
2023-10-06,9.82270
2023-10-09,9.82260
2023-10-10,9.95110
2023-10-11,9.98300
2023-10-12,9.90540
2023-10-13,9.81810
2023-10-16,9.88940
2023-10-17,9.89060
2023-10-18,9.72440
2023-10-19,9.63720
2023-10-20,9.53450
2023-10-23,9.54610
2023-10-25,9.53040
2023-10-26,9.46920
2023-10-27,9.44140
2023-10-30,9.55920
2023-10-31,9.59090
2023-11-01,9.69110
2023-11-02,9.88390
2023-11-03,9.99380
2023-11-06,9.94230
2023-11-07,9.88500
2023-11-08,9.87400
2023-11-09,9.87450
2023-11-10,9.91990
2023-11-13,9.94550
2023-11-15,10.15800
2023-11-16,10.16180
2023-11-17,10.29750
2023-11-20,10.35230
2023-11-21,10.30640
2023-11-22,10.33060
2023-11-23,10.33170
2023-11-24,10.41080
2023-11-28,10.38040
2023-11-29,10.40020
2023-11-30,10.39610
2023-12-01,10.50170
2023-12-04,10.42270
2023-12-05,10.38670
2023-12-06,10.41100
2023-12-07,10.46480
2023-12-08,10.49630
2023-12-11,10.52020
2023-12-12,10.53510
2023-12-13,10.69780
2023-12-14,10.76370
2023-12-15,10.62010
2023-12-18,10.64840
2023-12-19,10.75630
2023-12-21,10.79790
2023-12-22,10.79630
2023-12-26,10.85140
2023-12-27,10.92630
2023-12-28,10.87730
2023-12-29,10.88550
2024-01-01,10.89780
2024-01-02,10.78860
2024-01-03,10.71070
2024-01-04,10.72870
2024-01-05,10.72230
2024-01-08,10.83210
2024-01-09,10.73390
2024-01-10,10.78890
2024-01-11,10.78550
2024-01-12,10.72360
2024-01-15,10.72640
2024-01-16,10.57810
2024-01-17,10.48220
2024-01-18,10.57100
2024-01-19,10.58470
2024-01-23,10.60360
2024-01-24,10.67330
2024-01-25,10.70030
2024-01-29,10.81570
2024-01-30,10.79770
2024-01-31,10.73170
2024-02-01,10.83180
2024-02-02,10.73840
2024-02-05,10.69550
2024-02-06,10.76110
2024-02-07,10.75120
2024-02-08,10.73080
2024-02-09,10.77300
2024-02-12,10.79050
2024-02-13,10.62250
2024-02-14,10.74660
2024-02-15,10.86610
2024-02-16,10.87590
2024-02-19,10.87730
2024-02-20,10.91200
2024-02-21,10.91630
2024-02-22,11.02350
2024-02-23,11.04710
2024-02-26,11.02310
2024-02-27,11.05360
2024-02-28,10.99160
2024-02-29,11.02170
2024-03-01,11.12220
2024-03-04,11.09520
2024-03-05,11.07520
2024-03-06,11.19780
2024-03-07,11.30280
2024-03-11,11.21550
2024-03-12,11.30680
2024-03-13,11.31600
2024-03-14,11.23850
2024-03-15,11.24150
2024-03-18,11.24800
2024-03-19,11.28370
2024-03-20,11.42290
2024-03-21,11.41250
2024-03-22,11.45800
2024-03-26,11.39910
2024-03-27,11.47300
2024-03-28,11.45410
2024-03-31,11.45060
2024-04-01,11.40460
2024-04-02,11.33290
2024-04-03,11.40280
2024-04-04,11.30460
2024-04-05,11.32530
2024-04-08,11.37810
2024-04-09,11.36710
2024-04-10,11.21140
