Date,NAV
2010-10-01,10.01150
2010-10-04,10.00570
2010-10-05,9.97280
2010-10-06,10.03730
2010-10-07,9.92860
2010-10-08,9.89810
2010-10-11,9.93900
2010-10-12,9.87180
2010-10-13,10.10150
2010-10-14,10.01310
2010-10-15,9.83910
2010-10-18,9.85860
2010-10-19,9.76810
2010-10-20,9.71300
2010-10-21,9.91560
2010-10-22,9.86930
2010-10-25,9.93640
2010-10-26,9.89670
2010-10-27,9.79250
2010-10-28,9.75750
2010-10-29,9.80520
2010-11-01,9.95580
2010-11-02,9.94950
2010-11-03,10.00980
2010-11-04,10.22050
2010-11-08,10.20150
2010-11-09,10.23820
2010-11-10,10.20900
2010-11-11,10.06480
2010-11-12,9.84860
2010-11-15,9.92460
2010-11-16,9.70650
2010-11-18,9.73760
2010-11-19,9.57310
2010-11-22,9.74790
2010-11-23,9.62240
2010-11-24,9.50730
2010-11-25,9.43750
2010-11-26,9.35040
2010-11-29,9.47290
2010-11-30,9.52610
2010-12-01,9.67660
2010-12-02,9.73730
2010-12-03,9.72440
2010-12-06,9.73110
2010-12-07,9.70700
2010-12-08,9.58900
2010-12-09,9.36480
2010-12-10,9.49190
2010-12-13,9.57650
2010-12-14,9.62540
2010-12-15,9.55110
2010-12-16,9.65540
2010-12-20,9.67410
2010-12-21,9.75810
2010-12-22,9.73620
2010-12-23,9.72000
2010-12-24,9.76450
2010-12-27,9.74210
2010-12-28,9.74040
2010-12-29,9.85170
2010-12-30,9.91590
2010-12-31,9.97350
2011-01-03,9.99790
2011-01-04,9.96850
2011-01-05,9.87520
2011-01-06,9.82170
2011-01-07,9.59370
2011-01-10,9.37730
2011-01-11,9.36400
2011-01-12,9.51630
2011-01-13,9.35630
2011-01-14,9.21080
2011-01-17,9.22060
2011-01-18,9.31760
2011-01-19,9.26330
2011-01-20,9.29610
2011-01-21,9.27740
2011-01-24,9.34620
2011-01-25,9.25920
2011-01-27,9.12400
2011-01-28,8.98610
2011-01-31,8.95330
2011-02-01,8.80790
2011-02-02,8.83710
2011-02-03,8.98790
2011-02-04,8.78200
2011-02-07,8.79510
2011-02-08,8.67700
2011-02-09,8.59110
2011-02-10,8.53010
2011-02-11,8.65240
2011-02-14,8.86700
2011-02-15,8.89760
2011-02-16,8.90990
2011-02-17,9.00170
2011-02-18,8.86510
2011-02-21,8.97080
2011-02-22,8.90380
2011-02-23,8.84780
2011-02-24,8.59320
2011-02-25,8.62560
2011-02-28,8.68350
2011-03-01,8.96930
2011-03-03,8.98690
2011-03-04,8.98520
2011-03-07,8.85880
2011-03-08,8.96200
2011-03-09,8.97640
2011-03-10,8.90860
2011-03-11,8.83530
2011-03-14,8.96100
2011-03-15,8.83220
2011-03-16,8.92240
2011-03-17,8.82370
2011-03-18,8.69680
2011-03-21,8.67780
2011-03-22,8.74820
2011-03-23,8.84950
2011-03-24,8.91660
2011-03-25,9.13250
2011-03-28,9.19150
2011-03-29,9.27390
2011-03-30,9.35230
2011-03-31,9.42390
2011-04-01,9.41160
2011-04-04,9.54470
2011-04-05,9.53760
2011-04-06,9.50230
2011-04-07,9.49240
2011-04-08,9.42650
2011-04-11,9.33750
2011-04-13,9.54060
2011-04-15,9.39570
2011-04-18,9.25740
2011-04-19,9.27170
2011-04-20,9.43770
2011-04-21,9.49810
2011-04-25,9.48860
2011-04-26,9.46940
2011-04-27,9.42320
2011-04-28,9.34870
2011-04-29,9.27450
2011-05-02,9.20780
2011-05-03,8.98900
2011-05-04,8.95850
2011-05-05,8.84550
2011-05-06,8.98930
2011-05-09,8.99410
2011-05-10,8.98650
2011-05-11,9.02060
2011-05-12,8.90280
2011-05-13,8.99510
2011-05-16,8.90670
2011-05-17,8.80900
2011-05-18,8.78410
2011-05-19,8.81040
2011-05-20,8.90390
2011-05-23,8.74510
2011-05-24,8.75390
2011-05-25,8.67570
2011-05-26,8.77430
2011-05-27,8.87860
2011-05-30,8.86140
2011-05-31,8.99240
2011-06-01,9.04360
2011-06-02,9.00180
2011-06-03,8.94490
2011-06-06,8.96600
2011-06-07,9.00250
2011-06-08,8.95690
2011-06-09,8.95230
2011-06-10,8.91080
2011-06-13,8.90940
2011-06-14,8.92990
2011-06-15,8.84460
2011-06-16,8.74470
2011-06-17,8.68240
2011-06-20,8.50660
2011-06-21,8.53230
2011-06-22,8.53430
2011-06-23,8.62040
2011-06-24,8.86540
2011-06-27,8.93620
2011-06-28,8.97650
2011-06-29,9.08420
2011-06-30,9.16080
2011-07-01,9.11880
2011-07-04,9.14960
2011-07-05,9.11420
2011-07-06,9.10520
2011-07-07,9.28640
2011-07-08,9.17730
2011-07-11,9.10790
2011-07-12,8.95090
2011-07-13,9.04340
2011-07-14,9.05790
2011-07-15,9.03090
2011-07-18,9.00360
2011-07-19,9.08160
2011-07-20,9.00580
2011-07-21,8.97250
2011-07-22,9.11420
2011-07-25,9.18770
2011-07-26,9.01260
2011-07-27,8.97040
2011-07-28,8.86090
2011-07-29,8.85470
2011-08-01,8.91210
2011-08-02,8.81210
2011-08-03,8.72840
2011-08-04,8.60570
2011-08-05,8.41570
2011-08-08,8.25880
2011-08-09,8.20350
2011-08-10,8.32770
2011-08-11,8.29380
2011-08-12,8.18900
2011-08-16,8.13720
2011-08-17,8.19360
2011-08-18,8.01520
2011-08-19,7.85810
2011-08-22,7.95340
2011-08-23,8.02800
2011-08-24,7.92610
2011-08-25,7.86210
2011-08-26,7.72090
2011-08-29,7.98880
2011-08-30,8.09960
2011-09-02,8.17010
2011-09-05,8.11790
2011-09-06,8.18900
2011-09-07,8.28640
2011-09-08,8.33540
2011-09-09,8.19350
2011-09-12,8.01840
2011-09-13,8.00190
2011-09-14,8.12000
2011-09-15,8.20020
2011-09-16,8.22760
2011-09-19,8.13750
2011-09-20,8.30680
2011-09-21,8.29030
2011-09-22,7.95340
2011-09-23,7.85840
2011-09-26,7.80570
2011-09-27,8.02860
2011-09-28,7.99180
2011-09-29,8.11030
2011-09-30,7.99560
2011-10-03,7.85210
2011-10-04,7.71300
2011-10-05,7.67800
2011-10-07,7.88980
2011-10-10,8.04600
2011-10-11,8.03560
2011-10-12,8.23820
2011-10-13,8.20250
2011-10-14,8.29760
2011-10-17,8.26980
2011-10-18,8.13700
2011-10-19,8.29640
2011-10-20,8.23010
2011-10-21,8.15820
2011-10-24,8.23170
2011-10-25,8.38560
2011-10-28,8.65050
2011-10-31,8.60240
2011-11-01,8.47920
2011-11-02,8.47120
2011-11-03,8.47880
2011-11-04,8.51970
2011-11-08,8.52280
2011-11-09,8.42170
2011-11-11,8.33900
2011-11-14,8.30170
2011-11-15,8.18780
2011-11-16,8.13660
2011-11-17,7.98520
2011-11-18,7.94130
2011-11-21,7.73690
2011-11-22,7.79380
2011-11-23,7.62910
2011-11-24,7.70340
2011-11-25,7.62760
2011-11-28,7.84340
2011-11-29,7.76950
2011-11-30,7.82350
2011-12-01,7.99470
2011-12-02,8.16620
2011-12-05,8.14680
2011-12-07,8.18040
2011-12-08,7.98350
2011-12-09,7.84940
2011-12-12,7.68500
2011-12-13,7.74890
2011-12-14,7.69000
2011-12-15,7.66790
2011-12-16,7.50500
2011-12-19,7.45220
2011-12-20,7.35650
2011-12-21,7.59360
2011-12-22,7.65310
2011-12-23,7.61720
2011-12-26,7.72950
2011-12-27,7.68250
2011-12-28,7.61160
2011-12-29,7.52290
2011-12-30,7.47990
2012-01-02,7.51040
2012-01-03,7.71350
2012-01-04,7.68460
2012-01-05,7.67250
2012-01-06,7.68370
2012-01-09,7.65690
2012-01-10,7.82610
2012-01-11,7.83130
2012-01-12,7.76400
2012-01-13,7.82010
2012-01-16,7.83770
2012-01-17,7.97180
2012-01-18,7.96480
2012-01-19,8.05810
2012-01-20,8.10470
2012-01-23,8.11060
2012-01-24,8.22870
2012-01-25,8.27000
2012-01-27,8.34500
2012-01-30,8.16330
2012-01-31,8.32910
2012-02-01,8.38080
2012-02-02,8.44390
2012-02-03,8.52830
2012-02-06,8.57860
2012-02-07,8.53680
2012-02-08,8.57880
2012-02-09,8.64010
2012-02-10,8.60050
2012-02-13,8.61130
2012-02-14,8.64860
2012-02-15,8.82180
2012-02-16,8.79850
2012-02-17,8.86520
2012-02-21,8.93340
2012-02-22,8.79540
2012-02-23,8.76280
2012-02-24,8.68720
2012-02-27,8.45380
2012-02-28,8.59300
2012-02-29,8.60340
2012-03-01,8.52130
2012-03-02,8.54700
2012-03-05,8.41470
