Date,NAV
2024-09-24,10.00000
2024-09-26,10.03570
2024-09-27,10.01340
2024-09-30,10.02430
2024-10-01,10.03680
2024-10-03,10.01410
2024-10-04,9.99010
2024-10-07,9.98890
2024-10-08,10.00670
2024-10-09,10.02600
2024-10-10,10.02580
2024-10-11,10.02170
2024-10-14,10.03210
2024-10-15,10.03830
2024-10-16,10.03380
2024-10-17,10.03590
2024-10-18,10.02560
2024-10-21,10.01840
2024-10-22,10.02210
2024-10-23,10.03030
2024-10-24,10.03170
2024-10-25,10.02370
2024-10-28,10.01730
2024-10-29,10.02850
2024-10-30,10.03500
2024-10-31,10.03320
2024-11-04,10.04320
2024-11-05,10.04820
2024-11-06,10.05050
2024-11-07,10.05320
2024-11-08,10.07300
2024-11-11,10.07540
2024-11-12,10.07360
2024-11-13,10.07520
2024-11-14,10.06970
2024-11-18,10.08210
2024-11-19,10.08350
2024-11-21,10.08070
2024-11-22,10.07510
2024-11-25,10.08790
2024-11-26,10.08470
2024-11-27,10.09700
2024-11-28,10.09430
2024-11-29,10.11270
2024-12-02,10.13510
2024-12-03,10.13730
2024-12-04,10.15130
2024-12-05,10.15460
2024-12-06,10.13770
2024-12-09,10.14460
2024-12-10,10.14680
2024-12-11,10.14430
2024-12-12,10.14120
2024-12-13,10.14820
2024-12-16,10.14710
2024-12-17,10.14100
2024-12-18,10.14600
2024-12-19,10.13820
2024-12-20,10.13730
2024-12-23,10.14720
2024-12-24,10.14910
2024-12-26,10.14720
2024-12-27,10.14990
2024-12-30,10.15730
2024-12-31,10.16620
2025-01-01,10.16400
2025-01-02,10.16220
2025-01-03,10.17420
2025-01-06,10.18250
2025-01-07,10.18760
2025-01-08,10.18450
2025-01-09,10.18940
2025-01-10,10.18860
2025-01-13,10.16970
2025-01-14,10.17160
2025-01-15,10.18060
2025-01-16,10.20180
2025-01-17,10.20100
2025-01-20,10.20960
2025-01-21,10.22010
2025-01-22,10.22540
2025-01-23,10.22200
2025-01-24,10.22630
2025-01-27,10.24210
2025-01-28,10.24330
2025-01-29,10.24410
2025-01-30,10.24750
2025-01-31,10.24360
2025-02-03,10.25600
2025-02-04,10.25830
2025-02-05,10.26510
2025-02-06,10.27440
2025-02-07,10.26650
2025-02-10,10.27020
2025-02-11,10.27680
2025-02-12,10.27580
2025-02-13,10.27800
2025-02-14,10.27820
2025-02-17,10.28460
2025-02-18,10.28410
2025-02-20,10.28420
2025-02-21,10.29060
2025-02-24,10.29480
2025-02-25,10.29330
2025-02-27,10.29530
2025-02-28,10.29130
2025-03-03,10.29100
2025-03-04,10.29080
2025-03-05,10.29590
2025-03-06,10.30790
2025-03-07,10.31040
2025-03-10,10.31190
2025-03-11,10.31420
2025-03-12,10.31950
2025-03-13,10.32070
2025-03-17,10.32900
2025-03-18,10.33690
2025-03-19,10.35030
2025-03-20,10.36030
2025-03-21,10.37010
2025-03-24,10.37800
2025-03-25,10.38290
2025-03-26,10.38860
2025-03-27,10.40810
2025-03-28,10.43240
2025-03-31,10.43650
2025-04-02,10.51360
2025-04-03,10.52110
2025-04-04,10.53330
2025-04-07,10.53730
2025-04-08,10.53220
2025-04-09,10.55500
2025-04-11,10.57010
2025-04-15,10.59960
2025-04-16,10.60720
2025-04-17,10.61070
2025-04-21,10.63110
2025-04-22,10.64050
2025-04-23,10.65980
2025-04-24,10.65720
2025-04-25,10.65110
2025-04-28,10.65530
2025-04-29,10.66010
2025-04-30,10.65390
2025-05-02,10.65260
2025-05-05,10.67400
2025-05-06,10.67400
2025-05-07,10.67250
2025-05-08,10.65570
2025-05-09,10.64180
2025-05-13,10.67070
2025-05-14,10.67400
2025-05-15,10.68690
2025-05-16,10.70120
2025-05-19,10.71320
2025-05-20,10.71290
2025-05-21,10.72480
2025-05-22,10.72370
2025-05-23,10.72650
2025-05-26,10.73410
2025-05-27,10.74300
2025-05-28,10.74780
2025-05-29,10.74410
2025-05-30,10.73760
2025-06-02,10.74470
2025-06-03,10.73890
2025-06-04,10.74030
2025-06-05,10.73270
2025-06-06,10.73720
2025-06-09,10.73320
2025-06-10,10.72420
2025-06-11,10.71920
2025-06-12,10.70580
2025-06-13,10.70080
2025-06-16,10.71500
2025-06-17,10.72330
2025-06-18,10.72150
2025-06-19,10.70990
2025-06-20,10.72320
2025-06-23,10.60610
2025-06-24,10.60950
2025-06-25,10.59450
